item_number,timestamp
2,2023-11-11T12:30:45
1,2023-11-11T13:15:20
2,2023-11-11T03:54:10.220910
2,2023-11-11T03:56:29.345493
2,2023-11-11T03:57:15.301074
2,2023-11-11T03:59:12.459512
2,2023-11-11T04:04:33.599054
2,2023-11-11T04:04:36.694474
2,2023-11-11T04:07:44.565076
2,2023-11-11T04:07:58.962603
3,2023-11-11T04:10:21.045061
3,2023-11-11T04:11:35.128866
3,2023-11-11T04:15:54.229249
2,2023-11-11T19:51:48.700176
2,2023-11-11T19:52:18.514653
2,2023-11-11T19:53:50.579048
2,2023-11-11T21:08:55.246347
2,2023-11-11T21:09:05.881803
2,2023-11-11T21:13:06.285715
2,2023-11-11T21:14:29.058621
2,2023-11-11T21:16:45.930864
2,2023-11-11T21:25:58.684376
2,2023-11-11T21:26:11.300580
2,2023-11-11T21:27:44.982648
2,2023-11-11T21:27:54.674751
2,2023-11-11T21:28:10.297805
2,2023-11-11T21:34:26.372703
1,2023-11-11T21:35:16.323415
3,2023-11-11T21:35:47.337753
4,2023-11-11T21:36:26.825082
1,2023-11-11T21:36:44.733130
2,2023-11-11T21:38:48.383139
2,2023-11-11T21:40:32.169403
1,2023-11-11T21:41:47.808707
1,2023-11-11T21:50:34.746822
2,2023-11-11T21:50:46.748866
2,2023-11-11T21:52:56.924467
1,2023-11-11T21:57:17.323622
1,2023-11-11T21:57:36.163031
1,2023-11-11T21:58:44.330079
1,2023-11-11T21:58:54.871903
2,2023-11-11T21:59:11.802613
2,2023-11-11T22:08:11.432672
2,2023-11-11T22:08:43.926567
2,2023-11-11T22:09:53.439789
2,2023-11-11T22:10:56.124147
1,2023-11-11T22:11:05.540735
1,2023-11-11T22:15:12.119252
2,2023-11-11T22:15:25.366710
3,2023-11-11T22:15:48.979091
2,2023-11-11T23:13:59.117256
2,2023-11-11T23:14:14.859041
3,2023-11-11T23:14:46.103855
3,2023-11-11T23:14:54.469658
3,2023-11-11T23:15:05.320645
1,2023-11-11T23:15:13.948370
1,2023-11-11T23:15:19.280345
4,2023-11-11T23:15:29.315066
4,2023-11-11T23:15:35.851393
4,2023-11-11T23:15:47.152777
2,2023-11-11T23:15:58.577511
2,2023-11-11T23:16:07.551766
3,2023-11-11T23:20:23.732379
3,2023-11-11T23:20:35.194969
3,2023-11-11T23:20:40.094188
1,2023-11-11T23:20:51.212873
1,2023-11-11T23:21:00.230725
1,2023-11-11T23:21:04.455418
2,2023-11-11T23:21:10.116770
1,2023-11-11T23:23:59.628413
3,2023-11-11T23:24:10.049407
3,2023-11-11T23:24:14.494174
3,2023-11-11T23:24:19.196714
3,2023-11-11T23:25:05.350046
3,2023-11-11T23:29:27.203740
1,2023-11-11T23:29:38.505366
4,2023-11-11T23:29:55.727500
1,2023-11-11T23:33:20.085052
1,2023-11-11T23:33:39.274083
4,2023-11-11T23:33:53.146789
2,2023-11-11T23:34:25.400939
2,2023-11-11T23:34:41.746711
3,2023-11-11T23:35:15.862225
3,2023-11-11T23:35:35.521725
3,2023-11-11T23:47:47.375150
3,2023-11-11T23:47:57.111056
2,2023-11-11T23:48:06.219735
2,2023-11-11T23:51:07.405281
2,2023-11-11T23:51:18.381461
1,2023-11-11T23:52:18.682922
1,2023-11-11T23:52:35.510580
1,2023-11-11T23:54:25.505749
1,2023-11-11T23:59:49.979871
1,2023-11-12T00:01:03.591736
1,2023-11-12T00:01:23.237491
2,2023-11-12T00:09:22.167377
2,2023-11-12T00:09:43.034599
2,2023-11-12T00:15:02.931514
2,2023-11-12T00:15:25.739804
2,2023-11-12T00:19:58.020250
2,2023-11-12T00:22:14.635644
1,2023-11-12T00:22:40.230224
2,2023-11-12T00:23:05.072564
1,2023-11-12T00:24:02.755324
1,2023-11-12T00:24:15.832453
2,2023-11-12T00:27:33.117266
2,2023-11-12T00:28:07.345785
2,2023-11-12T00:30:16.789162
2,2023-11-12T00:35:13.832167
2,2023-11-12T00:45:41.987925
1,2023-11-12T00:46:38.970250
2,2023-11-12T00:46:51.403743
1,2023-11-12T00:48:00.474007
2,2023-11-12T00:48:47.235232
2,2023-11-12T00:49:19.352036
2,2023-11-12T00:49:42.662087
2,2023-11-12T00:50:13.890455
2,2023-11-12T00:53:56.337933
1,2023-11-12T00:56:36.650610
1,2023-11-12T00:59:49.423967
1,2023-11-12T01:00:01.087499
1,2023-11-12T01:00:07.017489
2,2023-11-12T01:00:21.233930
2,2023-11-12T01:00:23.399792
1,2023-11-12T01:09:23.015144
1,2023-11-12T01:10:12.715024
1,2023-11-12T01:10:32.020809
1,2023-11-12T01:13:02.371872
2,2023-11-12T01:13:48.587679
1,2023-11-12T01:16:06.268013
1,2023-11-12T01:16:38.908491
1,2023-11-12T01:18:03.152714
1,2023-11-12T01:18:12.596714
2,2023-11-12T01:18:26.848903
2,2023-11-12T01:18:42.851671
4,2023-11-12T01:18:52.913883
2,2023-11-12T01:24:24.098028
2,2023-11-12T01:29:44.554379
1,2023-11-12T01:31:12.620073
1,2023-11-12T01:31:54.833018
1,2023-11-12T01:34:22.116391
1,2023-11-12T01:34:32.221710
1,2023-11-12T01:36:55.721141
1,2023-11-12T01:46:17.954842
1,2023-11-12T01:46:28.528462
2,2023-11-12T01:57:53.455661
2,2023-11-12T01:58:10.517924
4,2023-11-12T01:58:19.727029
4,2023-11-12T01:58:34.251712
1,2023-11-12T02:00:22.302144
1,2023-11-12T02:03:57.602695
2,2023-11-12T19:25:48.577352
3,2023-11-12T19:26:05.441082
3,2023-11-12T19:26:18.928612
2,2023-11-19T22:09:13.581581
2,2023-11-19T22:11:48.114144
2,2023-11-19T22:45:43.643700
2,2023-11-19T22:50:14.152367
4,2023-11-19T22:50:57.696931
2,2023-11-19T22:54:14.731545
2,2023-11-19T22:54:22.260981
1,2024-01-05T23:39:24.880014
2,2024-01-05T23:40:52.153869
1,2024-01-10T01:06:35.886684
1,2024-01-10T02:08:18.836345
1,2024-01-10T02:49:39.226274
1,2024-01-10T04:35:18.223002
1,2024-01-10T04:35:48.384916
1,2024-01-10T04:36:00.084643
1,2024-01-10T04:36:58.565501
1,2024-01-10T04:41:20.521396
1,2024-01-10T04:41:33.132143
1,2024-01-10T12:55:44.043867
1,2024-01-10T12:58:38.440682
1,2024-01-10T12:58:56.955506
1,2024-01-10T13:03:09.176338
1,2024-01-10T13:13:36.864284
1,2024-01-10T13:16:19.893684
1,2024-01-10T13:17:31.238756
1,2024-01-10T13:37:09.400690
1,2024-01-10T13:37:43.320041
1,2024-01-10T13:38:14.766158
1,2024-01-10T13:38:57.378346
1,2024-01-10T13:39:36.165438
1,2024-01-10T13:45:04.213895
2,2024-01-10T18:49:49.187523
2,2024-01-10T18:57:20.323805
2,2024-01-10T19:08:21.668513
2,2024-01-10T19:08:56.640568
1,2024-01-10T20:29:18.919648
1,2024-01-10T20:31:31.372022
1,2024-01-10T20:32:29.547846
1,2024-01-10T20:36:10.765509
1,2024-01-10T21:12:12.138192
1,2024-01-10T21:13:57.212726
1,2024-01-10T21:14:29.371146
1,2024-01-10T21:25:43.290978
1,2024-01-10T21:37:23.018400
1,2024-01-10T22:39:02.613205
1,2024-01-10T22:51:11.866646
1,2024-01-10T22:53:05.302758
2,2024-01-10T22:54:10.595226
2,2024-01-10T22:55:20.937493
2,2024-01-10T22:57:36.864184
2,2024-01-11T11:59:35.592589
2,2024-01-11T12:00:34.352957
2,2024-01-11T12:03:07.411655
2,2024-01-11T12:05:08.567414
2,2024-01-11T12:06:25.426888
2,2024-01-11T13:02:53.642305
1,2024-01-11T13:04:46.292458
1,2024-01-11T13:11:11.882418
1,2024-01-11T13:13:31.239315
1,2024-01-11T13:35:27.008702
1,2024-01-11T13:35:43.417015
1,2024-01-11T13:36:12.080582
1,2024-01-11T13:37:00.535400
1,2024-01-11T13:37:23.903762
1,2024-01-11T13:37:39.122259
1,2024-01-11T13:41:23.200658
1,2024-01-11T13:42:15.151081
1,2024-01-11T14:18:04.018299
1,2024-01-11T14:22:28.504443
1,2024-01-11T14:22:58.209343
1,2024-01-11T14:28:57.583546
1,2024-01-11T14:29:22.474537
1,2024-01-11T14:30:42.570534
1,2024-01-11T14:31:01.771851
2,2024-01-11T14:33:37.290294
1,2024-01-11T19:14:03.302641
1,2024-01-11T19:14:35.419796
1,2024-01-11T19:15:41.103573
1,2024-01-11T19:17:32.616141
1,2024-01-11T19:19:32.673079
1,2024-01-11T19:21:16.885677
1,2024-01-11T19:23:27.739799
1,2024-01-11T19:24:36.317647
1,2024-01-11T19:29:27.250313
1,2024-01-11T19:38:27.139798
1,2024-01-11T19:38:45.870530
1,2024-01-11T19:39:32.582396
1,2024-01-11T20:29:01.234781
1,2024-01-11T20:30:59.717125
1,2024-01-11T20:33:18.944803
1,2024-01-11T20:33:44.562922
1,2024-01-11T20:37:05.867691
1,2024-01-11T20:37:26.045655
1,2024-01-11T20:53:48.456939
1,2024-01-11T20:55:02.190023
1,2024-01-11T20:55:21.159215
1,2024-01-11T21:03:46.216193
1,2024-01-11T21:03:59.872205
1,2024-01-11T21:05:59.950092
1,2024-01-11T21:12:57.672142
1,2024-01-11T21:20:17.066890
1,2024-01-11T21:21:07.046490
1,2024-01-11T21:21:39.236990
1,2024-01-11T21:24:57.143885
1,2024-01-11T21:30:09.252734
1,2024-01-11T21:33:51.376505
1,2024-01-11T21:35:35.998515
1,2024-01-11T22:10:10.890325
1,2024-01-11T22:10:32.284298
1,2024-01-12T09:02:07.951098
1,2024-01-12T12:37:39.725901
1,2024-01-12T12:43:23.048952
1,2024-01-12T12:48:57.267043
3,2024-01-12T12:53:50.180881
2,2024-01-12T13:16:28.483494
1,2024-01-12T18:40:27.090796
1,2024-01-12T20:18:35.374260
1,2024-01-12T20:19:45.981083
1,2024-01-12T20:21:09.336146
1,2024-01-12T20:22:08.454127
1,2024-01-12T20:23:21.475334
1,2024-01-12T20:25:03.192706
1,2024-01-12T20:25:32.641451
1,2024-01-12T20:26:03.214378
1,2024-01-12T20:34:00.379354
1,2024-01-12T20:54:23.671036
1,2024-01-12T20:55:10.068809
1,2024-01-12T20:55:33.130420
1,2024-01-12T20:56:31.700071
1,2024-01-12T20:56:59.505242
1,2024-01-12T20:58:14.532486
2,2024-01-12T21:36:55.064573
2,2024-01-12T21:38:09.483532
2,2024-01-12T21:38:54.265043
2,2024-01-12T21:40:01.437528
2,2024-01-13T00:59:50.465410
3,2024-01-13T02:31:07.035692
1,2024-01-13T12:11:40.980943
1,2024-01-13T12:12:40.829022
4,2024-01-13T12:14:44.292675
1,2024-01-13T12:50:22.338701
2,2024-01-13T12:52:16.469820
3,2024-01-13T12:56:29.324032
5,2024-01-13T12:59:57.950186
7,2024-01-13T13:02:04.911901
2,2024-01-13T13:03:37.243878
7,2024-01-13T13:04:37.144521
7,2024-01-13T13:06:08.793007
7,2024-01-13T13:31:24.594033
5,2024-01-13T13:32:59.436892
